model,dataset,classification_method,seq_len,opt_seq_len,class,accuracy_score,precision,recall,fscore,support,roc_auc_score,tp,fp,tn,fn
security_camera_cart,test,session,1,1,0,0.964,0.9665226781857451,0.9944444444444445,0.9802847754654983,900,0.8422222222222222,69,5,895,31
security_camera_cart,test,session,1,1,1,0.964,0.9324324324324325,0.69,0.793103448275862,100,0.8422222222222222,69,5,895,31
security_camera_cart,test,sequence,1,99,0,0.964,0.9665226781857451,0.9944444444444445,0.9802847754654983,900,0.8422222222222222,69,5,895,31
security_camera_cart,test,sequence,1,99,1,0.964,0.9324324324324325,0.69,0.793103448275862,100,0.8422222222222222,69,5,895,31
security_camera_cart_entropy_100_samples_leaf,test,session,1,1,0,0.968,0.9666666666666667,0.9988888888888889,0.9825136612021859,900,0.8444444444444444,69,1,899,31
security_camera_cart_entropy_100_samples_leaf,test,session,1,1,1,0.968,0.9857142857142858,0.69,0.8117647058823529,100,0.8444444444444444,69,1,899,31
security_camera_cart_entropy_100_samples_leaf,test,sequence,1,99,0,0.968,0.9666666666666667,0.9988888888888889,0.9825136612021859,900,0.8444444444444444,69,1,899,31
security_camera_cart_entropy_100_samples_leaf,test,sequence,1,99,1,0.968,0.9857142857142858,0.69,0.8117647058823529,100,0.8444444444444444,69,1,899,31
security_camera_cart_entropy_200_samples_leaf,test,session,1,1,0,0.966,0.9686147186147186,0.9944444444444445,0.981359649122807,900,0.8522222222222222,71,5,895,29
security_camera_cart_entropy_200_samples_leaf,test,session,1,1,1,0.966,0.9342105263157895,0.71,0.8068181818181819,100,0.8522222222222222,71,5,895,29
security_camera_cart_entropy_200_samples_leaf,test,sequence,1,99,0,0.966,0.9686147186147186,0.9944444444444445,0.981359649122807,900,0.8522222222222222,71,5,895,29
security_camera_cart_entropy_200_samples_leaf,test,sequence,1,99,1,0.966,0.9342105263157895,0.71,0.8068181818181819,100,0.8522222222222222,71,5,895,29
security_camera_cart_entropy_400_samples_leaf,test,session,1,1,0,0.961,0.9664138678223185,0.9911111111111112,0.9786066922654965,900,0.8405555555555556,69,8,892,31
security_camera_cart_entropy_400_samples_leaf,test,session,1,1,1,0.961,0.8961038961038961,0.69,0.7796610169491525,100,0.8405555555555556,69,8,892,31
security_camera_cart_entropy_400_samples_leaf,test,sequence,1,99,0,0.961,0.9664138678223185,0.9911111111111112,0.9786066922654965,900,0.8405555555555556,69,8,892,31
