device,model,dataset,classification_method,seq_len,opt_seq_len,class,accuracy_score,precision,recall,fscore,support,roc_auc_score
baby_monitor,baby_monitor_MLP_5_3,test,session,1,1,1,0.999,0.99009901,1,0.995024876,100,0.999444444
baby_monitor,baby_monitor_forest,test,session,1,1,1,0.998,0.980392157,1,0.99009901,100,0.998888889
baby_monitor,baby_monitor_MLP_3_5,test,session,1,1,1,0.998,0.980392157,1,0.99009901,100,0.998888889
baby_monitor,baby_monitor_sgd,test,session,1,1,1,0.998,0.99,0.99,0.99,100,0.994444444
baby_monitor,baby_monitor_forest_entropy_23,test,session,1,1,1,0.997,0.970873786,1,0.985221675,100,0.998333333
baby_monitor,baby_monitor_MLP_4_2,test,session,1,1,1,0.997,0.970873786,1,0.985221675,100,0.998333333
baby_monitor,baby_monitor_MLP_4_3,test,session,1,1,1,0.997,0.970873786,1,0.985221675,100,0.998333333
baby_monitor,baby_monitor_MLP_4_5,test,session,1,1,1,0.997,0.98019802,0.99,0.985074627,100,0.993888889
baby_monitor,baby_monitor_MLP_3_4_sgd,test,session,1,1,1,0.997,1,0.97,0.984771574,100,0.985
baby_monitor,baby_monitor_MLP_4_1,test,session,1,1,1,0.996,0.961538462,1,0.980392157,100,0.997777778
baby_monitor,baby_monitor_MLP_3_5_sgd,test,session,1,1,1,0.996,0.989795918,0.97,0.97979798,100,0.984444444
baby_monitor,baby_monitor_MLP_1_3,test,session,1,1,1,0.995,0.952380952,1,0.975609756,100,0.997222222
baby_monitor,baby_monitor_MLP_4_2_sgd,test,session,1,1,1,0.995,0.97979798,0.97,0.974874372,100,0.983888889
baby_monitor,baby_monitor_MLP_4_4,test,session,1,1,1,0.994,0.943396226,1,0.970873786,100,0.996666667
baby_monitor,baby_monitor_MLP_2_5_sgd,test,session,1,1,1,0.994,0.97,0.97,0.97,100,0.983333333
baby_monitor,baby_monitor_MLP_2_4_sgd,test,session,1,1,1,0.993,0.96039604,0.97,0.965174129,100,0.982777778
baby_monitor,baby_monitor_forest_gini_11,test,session,1,1,1,0.992,0.989361702,0.93,0.958762887,100,0.964444444
baby_monitor,baby_monitor_MLP_4_3_sgd,test,session,1,1,1,0.991,0.941747573,0.97,0.955665025,100,0.981666667
baby_monitor,baby_monitor_MLP_2_2_sgd,test,session,1,1,1,0.989,0.923809524,0.97,0.946341463,100,0.980555556
baby_monitor,baby_monitor_MLP_5_2_sgd,test,session,1,1,1,0.987,0.906542056,0.97,0.937198068,100,0.979444444
baby_monitor,baby_monitor_forest_gini_15,test,session,1,1,1,0.987,0.988764045,0.88,0.931216931,100,0.939444444
baby_monitor,baby_monitor_MLP_5_4_sgd,test,session,1,1,1,0.985,0.876106195,0.99,0.929577465,100,0.987222222
baby_monitor,baby_monitor_MLP_4_5_sgd,test,session,1,1,1,0.984,0.868421053,0.99,0.925233645,100,0.986666667
baby_monitor,baby_monitor_forest_entropy_19,test,session,1,1,1,0.984,0.977272727,0.86,0.914893617,100,0.928888889
baby_monitor,baby_monitor_forest_entropy_21,test,session,1,1,1,0.984,0.988372093,0.85,0.913978495,100,0.924444444
